invoice_id,customer_id,customer_industry,customer_segment,customer_credit_score,invoice_amount,issue_date,due_date,payment_date,payment_delay_days,is_delayed,due_days,avg_payment_delay_history,payment_consistency,quarter,month,is_weekend_issue
INV_100000,CUST_6191,Healthcare,Risky,469,2800.98,2023-05-11,2023-05-26,2023-07-02,37.5,1,15,36.0,0.435,2,5,0
INV_100001,CUST_3433,Healthcare,Poor,545,10577.61,2023-12-30,2024-01-29,2024-02-18,20.8,1,30,27.0,0.868,4,12,1
INV_100002,CUST_6393,Construction,Average,596,3298.12,2023-09-21,2023-10-06,2023-10-20,14.4,1,15,22.0,0.747,3,9,0
INV_100003,CUST_4943,Technology,Good,702,19656.43,2023-08-03,2023-09-02,2023-09-05,3.2,1,30,4.8,0.976,3,8,0
INV_100004,CUST_9529,Construction,Good,735,2945.09,2023-12-11,2024-02-09,2024-02-19,10.0,1,60,13.2,0.835,4,12,0
INV_100005,CUST_6258,Technology,Good,690,1326.39,2023-02-17,2023-03-19,2023-03-25,6.7,1,30,4.8,0.786,1,2,0
INV_100006,CUST_9154,Construction,Average,628,48752.96,2023-12-25,2024-01-09,2024-02-04,26.1,1,15,22.0,0.766,4,12,0
INV_100007,CUST_2484,Manufacturing,Excellent,808,6225.4,2023-08-25,2023-09-24,2023-09-28,4.0,1,30,4.5,0.858,3,8,0
INV_100008,CUST_4157,Healthcare,Poor,539,9104.22,2023-12-14,2024-01-13,2024-02-09,27.2,1,30,27.0,0.831,4,12,0
INV_100009,CUST_7776,Technology,Good,693,5370.86,2023-11-11,2023-12-11,2023-12-12,1.8,1,30,4.8,0.848,4,11,1
INV_100010,CUST_2853,Technology,Average,668,8710.43,2023-02-23,2023-03-10,2023-03-24,14.2,1,15,8.0,0.681,1,2,0
INV_100011,CUST_6249,Technology,Average,636,3195.81,2023-09-12,2023-10-27,2023-11-03,7.7,1,45,8.0,0.839,3,9,0
INV_100012,CUST_8125,Healthcare,Risky,436,20902.15,2023-09-09,2023-10-09,2023-11-07,29.1,1,30,36.0,0.788,3,9,1
INV_100013,CUST_9338,Manufacturing,Average,633,3165.59,2023-05-31,2023-06-30,2023-07-11,11.4,1,30,15.0,0.683,2,5,0
INV_100014,CUST_9815,Healthcare,Good,742,25790.79,2023-07-27,2023-09-10,2023-09-15,5.6,1,45,10.8,0.766,3,7,0
INV_100015,CUST_2648,Professional Services,Poor,566,2483.79,2023-07-13,2023-08-12,2023-08-20,8.4,1,30,15.0,0.731,3,7,0
INV_100016,CUST_9352,Construction,Good,748,13485.68,2023-02-02,2023-03-04,2023-03-15,11.1,1,30,13.2,0.907,1,2,0
INV_100017,CUST_4436,Professional Services,Good,713,5898.25,2023-11-13,2023-12-13,2023-12-27,14.2,1,30,6.0,0.74,4,11,0
INV_100018,CUST_8679,Retail,Poor,528,16770.14,2023-04-05,2023-06-04,2023-06-11,7.6,1,60,18.0,0.799,2,4,0
INV_100019,CUST_1980,Healthcare,Good,722,9974.8,2023-12-26,2024-01-10,2024-01-23,13.1,1,15,10.8,0.682,4,12,0
INV_100020,CUST_8806,Professional Services,Good,720,13901.18,2023-06-19,2023-08-03,2023-08-12,9.1,1,45,6.0,0.902,2,6,0
INV_100021,CUST_9716,Manufacturing,Poor,560,17706.19,2023-05-23,2023-06-22,2023-07-10,18.8,1,30,22.5,0.74,2,5,0
INV_100022,CUST_1574,Retail,Average,648,8921.67,2023-11-22,2023-12-22,2023-12-26,5.0,1,30,12.0,0.823,4,11,0
INV_100023,CUST_1004,Construction,Good,745,1720.79,2023-11-04,2023-12-04,2023-12-14,10.4,1,30,13.2,0.879,4,11,1
INV_100024,CUST_9932,Healthcare,Average,665,59489.91,2023-01-01,2023-01-31,2023-02-12,12.8,1,30,18.0,0.882,1,1,1
INV_100025,CUST_4343,Construction,Good,749,27971.97,2023-03-17,2023-04-16,2023-04-28,12.1,1,30,13.2,0.535,1,3,0
INV_100026,CUST_7617,Professional Services,Risky,485,656.84,2023-09-07,2023-10-07,2023-10-18,11.5,1,30,20.0,0.861,3,9,0
INV_100027,CUST_3489,Manufacturing,Average,603,51708.1,2023-09-15,2023-09-30,2023-10-16,16.2,1,15,15.0,0.711,3,9,0
INV_100028,CUST_3427,Healthcare,Good,708,8823.44,2023-06-17,2023-08-16,2023-08-25,9.3,1,60,10.8,0.747,2,6,1
INV_100029,CUST_1417,Manufacturing,Good,674,46307.55,2023-08-05,2023-09-19,2023-09-25,6.5,1,45,9.0,0.653,3,8,1
INV_100030,CUST_5079,Retail,Risky,349,32673.67,2023-02-06,2023-03-08,2023-03-28,20.6,1,30,24.0,0.868,1,2,0
INV_100031,CUST_9787,Technology,Good,692,6931.48,2023-12-05,2024-01-04,2024-01-11,7.7,1,30,4.8,0.829,4,12,0
INV_100032,CUST_2167,Healthcare,Poor,573,60497.17,2023-08-27,2023-09-26,2023-10-18,22.7,1,30,27.0,0.878,3,8,1
INV_100033,CUST_7313,Professional Services,Average,591,10704.93,2023-12-05,2024-01-04,2024-01-12,8.8,1,30,10.0,0.914,4,12,0
INV_100034,CUST_4486,Healthcare,Good,697,5637.58,2023-08-08,2023-09-07,2023-09-16,9.8,1,30,10.8,0.607,3,8,0
INV_100035,CUST_4072,Healthcare,Poor,513,5367.72,2023-05-14,2023-06-28,2023-07-17,19.7,1,45,27.0,0.836,2,5,1
INV_100036,CUST_5175,Construction,Excellent,829,4825.5,2023-02-23,2023-03-25,2023-04-04,10.0,1,30,6.6,0.839,1,2,0
INV_100037,CUST_2353,Technology,Poor,602,14118.89,2023-05-16,2023-06-15,2023-06-19,4.8,1,30,12.0,0.879,2,5,0
INV_100038,CUST_5835,Healthcare,Good,728,1316.21,2023-02-15,2023-03-02,2023-03-11,9.6,1,15,10.8,0.799,1,2,0
INV_100039,CUST_5804,Manufacturing,Average,646,7118.26,2023-08-27,2023-09-26,2023-10-12,16.9,1,30,15.0,0.704,3,8,1
INV_100040,CUST_4925,Manufacturing,Good,722,7112.76,2023-01-06,2023-02-05,2023-02-11,6.3,1,30,9.0,0.805,1,1,0
INV_100041,CUST_2460,Construction,Risky,332,9361.44,2023-10-15,2023-10-30,2023-12-06,37.5,1,15,44.0,0.713,4,10,1
INV_100042,CUST_1770,Manufacturing,Average,665,2381.63,2023-10-30,2023-11-29,2023-12-10,11.4,1,30,15.0,0.691,4,10,0
INV_100043,CUST_5530,Construction,Average,649,2857.5,2023-11-04,2023-12-04,2023-12-23,19.8,1,30,22.0,0.826,4,11,1
INV_100044,CUST_4177,Healthcare,Good,720,9448.86,2023-07-24,2023-08-23,2023-08-29,6.4,1,30,10.8,0.801,3,7,0
INV_100045,CUST_8830,Retail,Average,662,3284.81,2023-12-18,2024-01-17,2024-02-07,21.5,1,30,12.0,0.457,4,12,0
INV_100046,CUST_8570,Manufacturing,Average,613,7126.41,2023-12-12,2024-01-26,2024-02-04,9.3,1,45,15.0,0.882,4,12,0
INV_100047,CUST_8240,Manufacturing,Average,619,22507.98,2023-04-23,2023-05-23,2023-06-03,11.1,1,30,15.0,0.71,2,4,1
INV_100048,CUST_9150,Professional Services,Good,675,2523.19,2023-10-21,2023-11-20,2023-11-23,3.6,1,30,6.0,0.937,4,10,1
INV_100049,CUST_9905,Technology,Average,635,10528.78,2023-03-09,2023-04-08,2023-04-16,8.2,1,30,8.0,0.842,1,3,0
INV_100050,CUST_8943,Healthcare,Average,655,24622.43,2023-11-11,2024-01-10,2024-02-03,24.2,1,60,18.0,0.782,4,11,1
INV_100051,CUST_2733,Technology,Good,677,69856.43,2023-03-03,2023-05-02,2023-05-05,3.8,1,60,4.8,0.844,1,3,0
INV_100052,CUST_7316,Retail,Average,633,26502.43,2023-02-07,2023-03-09,2023-03-22,13.3,1,30,12.0,0.673,1,2,0
INV_100053,CUST_4744,Healthcare,Good,673,27107.11,2023-11-17,2023-12-17,2023-12-25,8.9,1,30,10.8,0.819,4,11,0
INV_100054,CUST_4490,Technology,Excellent,850,1825.83,2023-11-16,2023-12-16,2023-12-17,1.7,1,30,2.4,0.851,4,11,0
INV_100055,CUST_5820,Professional Services,Poor,555,97780.55,2023-08-25,2023-09-24,2023-10-07,13.2,1,30,15.0,0.794,3,8,0
INV_100056,CUST_8804,Professional Services,Poor,522,1217.52,2023-11-05,2024-01-04,2024-01-16,12.8,1,60,15.0,0.711,4,11,1
INV_100057,CUST_9135,Retail,Average,653,36199.21,2023-08-19,2023-09-18,2023-09-30,12.8,1,30,12.0,0.779,3,8,1
INV_100058,CUST_5612,Professional Services,Good,708,580.67,2023-01-15,2023-03-01,2023-03-03,2.2,1,45,6.0,0.921,1,1,1
